id,title,overview,release_date,vote_average,poster_path,genre_ids
620705,크레이터,달 광산 정착지의 다섯 아이들이 탐사선을 훔쳐 타고 미지의 분화구를 탐험하는 여정에 나선다.,2023-05-12,6.7,/fYPegDwZoD1jfVC5sszbEiQmE0c.jpg,"SF, 액션, 모험, 가족"
842675,유랑지구 2,"태양계 소멸의 위기를 맞은 인류는 지구 표면에 거대한 엔진을 달아 궤도를 옮기는 ‘유랑지구 프로젝트’에 돌입한다. 하지만, 데이터베이스로 영생을 가지려는 ‘디지털 라이프’와 대립하게 되며 프로젝트는 난관에 부딪히게 되고, 그 과정 속 달과의 충돌이라는 예상치 못한 대재앙에 놓이게 되는데… 살아남기 위한 선택은 단 하나, 달을 파괴하라!",2023-01-22,7.2,/pajq0n6FZivirCg1ifpe4zYKvsA.jpg,"SF, 액션, 드라마"
677179,크리드 3,"록키의 후계자인 크리드는 월드 챔피언으로 권투계를 장악한 후 완벽한 삶을 살던 중 과거 친형제 같았던 데미안과 재회한다. 오랜 시간 감옥 생활을 마치고 나온 데미안은 그가 꿈꾸던 인생을 사는 크리드와 충돌하며 그의 모든 것을 빼앗으려 하고, 크리드는 이에 맞서 자신의 미래를 지키기 위한 일생일대의 대결을 준비하는데…",2023-03-01,7.3,/56HGRCoEY2OmO1yZro77IvldDpE.jpg,"드라마, 액션"
868759,고스팅,선량한 남자 콜은 수수께끼 같은 세이디에게 푹 빠지지만 곧 그녀가 비밀 요원이라는 충격적인 사실을 알게 된다. 두 번째 데이트 약속을 하기도 전에 콜과 세이디는 세상을 구하기 위한 국제적 모험에 휩쓸린다.,2023-04-18,7,/zCsg0CgncQkLiAgk1zkmt15OhM8.jpg,"액션, 코미디, 로맨스"
315162,장화신은 고양이: 끝내주는 모험,"아홉 개의 목숨 중 단 하나의 목숨만 남은 장화신은 고양이.  마지막 남은 목숨을 지키기 위해 히어로의 삶 대신 반려묘의 삶을 선택한 그에게 찾아온 마지막 기회, 바로 소원을 들어주는 소원별이 있는 곳을 알려주는 지도!  잃어버린 목숨을 되찾고 다시 히어로가 되기를 꿈꾸는 장화신은 고양이는 뜻밖에 동료가 된 앙숙 파트너 '키티 말랑손', 그저 친구들과 함께라면 모든 게 행복한 강아지 '페로'와 함께 소원별을 찾기 위해 길을 떠난다.  그리고 소원별을 노리는 또 다른 빌런들과 마주치게 되는데…",2022-12-07,8.3,/rKgvctIuPXyuqOzCQ16VGdnHxKx.jpg,"애니메이션, 가족, 판타지, 모험, 코미디"
1094319,베스트 맨,"용병들이 결혼식 도중 외딴 리조트 호텔을 장악하고 인질로 잡은 사람들을 구출하기 위해 신랑, 베스트맨, 그리고 그의 술 취한 친구들의 인질 구조 작전",2023-04-21,6.3,/c9f6mFZqkyz4AD0sxGmynE1pe0v.jpg,"액션, 스릴러"
916224,스즈메의 문단속,"큐슈의 작은 마을에서 살고 있는 소녀 ‘스즈메’는 어느 날, 여행을 하며 ‘문’을 찾고 있는 한 청년을 만난다. 그의 뒤를 쫓아간 소녀는 산속 폐허에서 덩그러니 남겨진 낡은 문을 발견한다. 무언가에 이끌린 듯 ‘스즈메’는 문으로 손을 뻗는데…",2022-11-11,7.9,/kVS51ssZF1y0IXF342h54cIJ0EK.jpg,"애니메이션, 드라마, 모험, 판타지"
420808,피터팬 & 웬디,"어느 날, 모험을 꿈꾸는 소녀 ‘웬디’의 창문으로 우연히 찾아온 ‘피터팬’. 신비로운 요정의 도움으로 ‘웬디’는 밤하늘을 날아 새로운 친구들과 놀라운 모험이 가득한 마법의 땅 ‘네버랜드’에 도착하게 되는데… 오늘 밤 , 창문을 닫지 마세요! 당신에게도 피터팬이 찾아올지 모르니",2023-04-20,5.8,/x5ex5Dk1jekuOHy7BBrX4jJ0csO.jpg,"가족, 판타지, 액션, 모험"
605886,투 캐치 어 킬러,,2023-04-06,7,/mFp3l4lZg1NSEsyxKrdi0rNK8r1.jpg,"액션, 범죄, 스릴러, 미스터리"
934433,스크림 6,"고스트페이스의 습격에서 살아남은 생존자들이 우즈보로를 떠나 뉴욕에서 새로운 삶을 시작하지만, 다시금 과거의 살인마에게 쫓기게 되는 이야기",2023-03-08,7.3,/1zhb49U0Rjg2qVU9L7VLmujf1Hs.jpg,"공포, 미스터리, 스릴러"
325358,슈퍼패스트!,,2015-03-05,5,/iuIWl90qCpoxv6g775JB6Kg0m86.jpg,"코미디, 액션"
493529,던전 앤 드래곤: 도적들의 명예,"한때는 명예로운 기사였지만, 어떤 사건 이후 홀가, 사이먼, 포지와 함께 도적질을 하게 된 에드긴. 소피나의 제안으로 부활의 서판을 얻기 위해 코린의 성에 잠입하지만 포지와 소피나의 배신으로 실패하고 감옥에 갇힌다. 기발한 방법으로 탈옥에 성공한 에드긴과 홀가는 소중한 사람들과 다시 만나고, 부활의 서판도 되찾기 위해  자신만의 팀을 꾸리기 시작한다. 옛 동료인 소질 없는 소서러 사이먼과 새롭게 합류한 변신 천재 드루이드 도릭, 재미 빼고 다 가진 팔라딘 젠크까지 어딘가 2% 부족한 오합지졸로 가득한 이 팀, 과연 무사히 모험을 끝마칠 수 있을까?",2023-03-23,7.5,/eg4vGqZo1BpjY3ZoCUAGk09Pq7T.jpg,"모험, 판타지, 코미디"
649609,렌필드,"정년 보장 + 평생 직장의 대가는 밤낮없는 24시간 FULL 근무? 사내 복지는 만성 피로, 불면증, 소화불량, 짙은 다크서클입니다! 불멸의 삶과 폭발적인 힘의 대가는 악당용 배민이 되는 것?! ‘드라큘라’에게 취업 사기를 당하고 24시간 밤낮없이 그에게 순결한 제물을 바치는 직속비서 ‘렌필드’는 남들과 다른 특별한 꼰대 상사에 점차 피폐해져 간다. 그러던 어느 날, 여느 때처럼 ‘드라큘라’에게 바칠 제물을 찾던 중 자신의 인생을 뒤바꿔줄 친구 ‘레베카’를 만나게 되고 지금껏 가슴 한 켠에 숨 죽여 있었던 퇴사의 희망을 발견하게 되는데.. 과연 퇴사 없는 종신계약에서 ‘렌필드’는 벗어날 수 있을까?  슈퍼 을(乙) ‘렌필드’, 자네 꿈이 뭔가? “이 지독한 관계에서 벗어나고 싶어요! 퇴사하겠습니다!”",2023-04-07,7,/wJXgQ3FgVIyVUwdoaKoeobET3po.jpg,"공포, 코미디, 판타지"
977223,폴라이트 소사이어티,,2023-04-27,6.9,/lv1WqAo2ulQy9aSOG7ikR44p8RR.jpg,"액션, 모험, 코미디"
702621,럴러바이,,2022-12-16,5.7,/vmE4gZ9vy8ammgS2UsEh0Z1OCia.jpg,공포
1102776,에이전트 A.K.A.,"한 치도 흔들림이 없는 특수 작전 요원. 하지만 범죄 조직 침투 임무 중, 우연히 상관의 어린 아들과 가까워지면서 굳은 신념이 시험대에 오른다.",2023-04-28,7,/zLQc0AF6yWkW6piLlFvjDU8FznN.jpg,"스릴러, 액션, 범죄"
1020696,플레이 데드,"법의학을 전공하고 있는 의대생 “클로이”, 그녀는 범죄를 저지른 동생의 증거인멸을 위해 자신의 몸을 일시적으로 죽은 상태로 만들어 영안실에 몰래 잠입한다. 그녀는 증거를 찾던 중, 영안실 검사관의 끔찍한 장기 밀매 사실을 알게 되고, 자신이 살아있다는 사실 또한 검사관에게 발각되게 되는데... 서서히 목을 조여오는 죽음의 그림자를 피해 도망쳐라!",2022-12-09,6.8,/z58ZJGKNKjQr2l80OpLairwBjJY.jpg,"공포, 스릴러"
785084,더 웨일,"272kg의 거구로 세상을 거부한 채 살아가는 대학 강사 찰리는 남은 시간이 얼마 없음을 느끼고 오랫동안 만나지 못한 10대 딸 엘리를 집으로 초대한다. 그리고, 매일 자신을 찾아와 에세이 한 편을 완성하면 전 재산을 주겠다고 제안한다.",2022-12-09,8,/q0xV5Lnq30JiegbVGBOvVwrgUDT.jpg,드라마
920125,덩크 슛,"동명 원작을 현대적으로 리믹스한 작품으로, 부상 때문에 진로가 막힌 왕년의 스타 선수 제러미와 역시 미래를 놓친 한때 촉망받던 선수 카말이 내키지 않게 한 팀을 이룬다. 여자 친구, 아내와의 불화, 경제적 압박과 내적 갈등에 허덕이던 이 두 길거리 농구 선수는 겉보기엔 정반대지만, 꿈을 이룰 마지막 기회를 두고 의기투합한다.",2023-05-11,6.6,/7MUQMSncjUSYeNx0ZAgFCxhlPhv.jpg,"코미디, 드라마"
948713,세븐 킹스 머스트 다이,에드워드 왕이 서거하자 뜻을 모으는 베반버그의 우트레드와 그의 동지들. 마침내 잉글랜드 통일이라는 꿈을 이루기 위해 분열된 왕국을 뒤흔들 모험에 뛰어든다.,2023-04-14,7.3,/ddt9jdbkjjBh3ezUejJlY6Dho6l.jpg,"액션, 모험, 전쟁"
505642,블랙 팬서: 와칸다 포에버,"국왕이자 블랙 팬서인 티찰라의 죽음 이후 수많은 강대국으로부터 위협을 받게 된 와칸다. 라몬다, 슈리 그리고 나키아, 오코예, 음바쿠는 각자 사명감을 갖고 와칸다를 지키기 위해 외로운 싸움을 이어간다. 한편, 비브라늄의 패권을 둘러싼 미스터리한 음모와 함께 깊은 해저에서 모습을 드러낸 최강의 적 네이머와 탈로칸의 전사들은 와칸다를 향해 무차별 공격을 퍼붓기 시작하는데…",2022-11-09,7.3,/nPpS4H39AhDD8g5VPt6tQcFJNtL.jpg,"액션, 모험, SF"
436270,블랙 아담,"기원전 가장 번성하고 위대한 고대 국가였지만 현재는 국제 군사 조직 인터갱의 독재 국가로 전락한 칸다크. 인터갱의 눈을 피해 고대 유물을 찾던 아드리아나는 우연히 5000년 동안 잠들어 있던 블랙 아담을 깨우게 된다.  엄청난 괴력과 스피드, 방탄 능력과 자유자재의 고공비행, 번개를 쏘는 능력까지. 온몸이 무기인 블랙 아담은 자신의 앞을 막아서는 인터갱들을 모조리 쓸어버리고 칸다크 국민들은 이에 열광한다. 한편, 그의 폭주를 막기 위해 호크맨, 닥터 페이트, 아톰 스매셔, 사이클론으로 구성된 히어로 군단 저스티스 소사이어티가 칸다크에 나타나는데...",2022-10-19,7.1,/mEdMHGy1FfCUc7PskFO0tibm8jp.jpg,"액션, 모험, SF, 판타지"
507250,데드 샷,,2023-05-12,6.6,/s0Qx9YL1JSpYKm1hu0Ovj0IJ1SN.jpg,"액션, 스릴러"
700391,65,"우주 비행 중 행성과의 치명적인 충돌이 일어난 후, 조종사 밀스와 유일한 탑승 생존자 코아는 6,500만 년 전 공룡의 시대 지구에 불시착한다.  모든 것이 위험과 죽음과 맞닿아 있는 상황, 그들은 거대한 행성과의 충돌 전, 반드시 지구를 탈출해야만 한다!",2023-03-02,6.2,/o9ItQpKVvhGcAcJFyIpFM7YYKuv.jpg,"SF, 모험, 스릴러"
816904,머미즈,고대 세 명의 미라가 고고학자 카나비 경이 훔친 왕실 소유의 오래된 반지를 찾기 위해 런던으로 떠난 여정을 그린 애니메이션,2023-01-05,7.2,/g5vkJAPj4XFlaOXZMYE97LZ7lns.jpg,"애니메이션, 코미디, 가족, 모험, 판타지"
569094,스파이더맨: 어크로스 더 유니버스,새로운 스파이더맨 마일스 모랄레스(샤메익 무어)가 수많은 스파이더맨들과 함께 멀티버스 세계 속 다중 우주의 질서를 잡기 위해 빌런과 대결하는 이야기,2023-05-31,6.1,/p2l6hOlyx1ZP6jt9wagthliVg9h.jpg,"애니메이션, 액션, 모험, SF"
638974,머더 미스터리 2,결혼식에서 억만장자 신랑이 납치당한 사건. 탐정 사무소를 차린 닉과 오드리 스피츠에게 이보다 더 대박인 사건은 없을 것.,2023-03-28,6.6,/fLuop1cvcHaZ4ayyzC8SqrUiCX.jpg,"코미디, 범죄"
1121116,"매기 심슨의 ""베이비 로그 원""",어린이집으로 향하던 매기는 호머가 한눈을 판 사이 그로구의 비행 유모차에 올라타 은하계를 가로지르는 하이퍼스페이스로 모험을 떠난다. '스타워즈'의 모든 것를 기념하는 이 에픽한 스케일의 단편에서 매기는 스프링필드에서 제국군의 타이 파이터 대대를 상대로 전투를 벌인다.,2023-05-04,5.8,/1iKP4PLgFOBw8cTMp950Kr2xw7c.jpg,"애니메이션, 가족, SF, 코미디"
384018,분노의 질주: 홉스 & 쇼,"이상한 약물에 의해 강력한 파워를 얻게 된 아나키스트 브릭스턴 로어는 인류를 천천히, 그리고 영원히 다른 존재로 바꿔버릴 수 있는 생화학무기를 손에 넣고 자신은 진화형 인간이 된다. 그런데 데카드 쇼의 동생이자 M16 요원인 해티 쇼가 치명적인 병원균이 들어 있는 실린더를 브릭스턴의 손에서 훔쳐 달아난다. 양국으로부터 해티의 행방을 찾아달라는 명령을 받은 루크와 데카드는 유전자 조작으로 사실상 파괴 불가능한 존재가 되어버린 브릭스턴을 상대로 힘겨운 싸움도 이겨나가야 하는데...",2019-08-01,6.9,/8MdVJYHKp7JFvTMkLkZOou13LYV.jpg,"액션, 모험, 코미디"
804150,코카인 베어,1985년 마약 밀매업자의 비행기 추락 사고로 인해 비행기에 실려있던 코카인이 조지아주 채터후치 국유림에 떨어지고 코카인을 손에 넣기 위한 마약상들과 관광객들이 코카인을 먹은 흑곰에 의해 처참하게 죽임을 당한다는 내용의 실화를 바탕으로 한 영화,2023-02-22,6.3,/gOnmaxHo0412UVr1QM5Nekv1xPi.jpg,"스릴러, 코미디, 범죄"
1037644,배틀 포 사이판,"미군은 일본 본토 폭격의 기착점으로 사이판에 상륙하는 태평양 D-day를 감행한다. 정찰 중 일본군에 급습 당한 소대는 야전병원에서 일본군의 자살돌격작전을 맞는다. 부상 당한 소대원들은 군의관, 간호사와 함께 자살돌격에 맞서 15시간의 끝장 전투를 벌이는데...",2022-11-25,5.8,/oT85hxlmXA8Zux4LHJO771w4bjM.jpg,"전쟁, 역사, 액션"
10144,인어공주,바다의 왕 트리톤의 막내딸 에리얼은 사랑스럽고 아름다운 목소리를 가져 모든 이들의 사랑을 독차지하고 있다. 인간 세계에 대한 왕성한 호기심을 갖고 있던 에리얼은 어느날 인간 세상 근처에 갔다가 생일 파티 중인 왕자를 보고 한눈에 반한다. 배가 폭풍을 만나 바다에 빠진 왕자를 구한 에리얼은 그를 진심으로 사랑하게 되고 그의 곁에 있고 싶어한다. 그 사실을 알게 된 마녀 우슬라는 에리얼에게 다리를 주는 대신 그녀의 목소리를 가지기로 한다. 3일 안에 왕자의 키스를 받지 못하면 우슬라에게 영혼을 빼앗기기 때문에 친구인 세바스찬과 플라우더는 갖은 방법을 써서라도 왕자와 에리얼이 잘 되도록 하려고 한다.,1989-11-17,7.3,/87RIt2AnjMe3QhxzhusolKJGgS2.jpg,"애니메이션, 가족, 판타지"
785759,투 위치스,임신한 새라는 식당에서 사악한 눈빛으로 노려보는 늙은 마녀와 마주친다. 그 후 새라는 아기가 잡아 먹히는 끔찍한 환상과 악몽에 시달린다. 늙은 마녀는 남편의 친구 더스틴의 집으로 가는 새라를 뒤따른다. 새라는 남편 사이먼과 함께 더스틴과 멜리사 부부의 외딴집에 도착한다. 주술에 빠져 있는 멜리사는 새라를 위해 위자 보드로 영을 소환한다. 얼마 후 나쁜 기운을 없애는 양초의 촛불이 저절로 꺼지고 화장실 앞에서 넋을 잃고 서 있던 새라는 아무것도 기억하지 못한다. 어둠 속에서 늙은 마녀가 아기를 먹는 모습을 본 사이먼은 심장마비로 사망한다. 새라가 어딘가로 사라지고 더스틴과 멜리사가 혼란에 빠진 가운데 경찰은 사이먼의 죽음과 새라의 실종을 가정폭력 때문이라고 발표한다. 악마가 새라의 태아를 먹은 늙은 마녀에게 안식을 허락하는데...,2023-03-02,6.5,/uL9fFTdNmUUlKIJfHJclN5X3bxH.jpg,공포
736790,내 친구 추파카브라,"멕시코에 사는 가족을 방문한 10대 소년 알렉스는 할아버지의 헛간에 숨어 있는 신비한 생명체, 어린 추파카브라를 발견한다. 그리고 뜻밖에 만나게 된 이 친구를 구하기 위해 사촌들과 함께 일생일대의 모험을 떠나기로 한다.",2023-04-07,6.5,/onSDW6Obvkh5RKGXMrS6i8YI9Aw.jpg,"모험, 판타지, 가족"
799379,늑대사냥,"동남아시아로 도피한 인터폴 수배자들을 이송할 움직이는 교도소 프론티어 타이탄. 극악무도한 이들과 베테랑 형사들이 필리핀 마닐라 항구에 모이고 탈출을 꿈꾸는 종두, 한국으로 돌아가야만 하는 도일을 비롯해 이들은 각자의 목적과 경계심을 품고 탑승한다. 한국으로 향하던 중, 태평양 한 가운데에서 이들에게는 지금까지 보지 못한 극한의 상황과 마주하게 되는데…",2022-09-21,6.5,/op2y1gvqKhAh4yAPLwc4PlX3XRv.jpg,"액션, 스릴러, 공포"
385128,분노의 질주: 더 얼티메이트,평화로운 은둔생활을 즐기고 있는 도미닉에게 또 다른 적이 나타난다. 미스터 노바디가 실종되면서 남긴 마지막 메시지를 쫓아가던 돔 패밀리 앞에 돔의 친동생 제이콥이 나타나 비밀이 담긴 박스를 탈취해간 것이다. 제이콥이 테러리스트 사이퍼를 이용해 전세계를 위험에 빠트릴 계획을 꾸미고 있음을 알게 된 도미닉은 동생의 폭주를 막고 잘못된 과거를 바로잡기 위해 일어선다. 돌아온 오리지널 멤버 한 등과 함께 다시 부활한 돔 패밀리의 반격의 막이 오른다.,2021-05-19,7.2,/tVkqaX34vKpprUn5As1kJeYPunr.jpg,"액션, 모험, 범죄"
283995,가디언즈 오브 갤럭시 Vol. 2,타노스에 맞서 은하계를 구하고 최고의 해결사로 등극한 스타로드 일행. 하지만 소버린 행성의 여사제 아이샤를 돕던 중 옛버릇을 고치지 못하고 행성의 배터리를 훔쳤다가 소버린 종족에 쫓기는 신세가 된다. 그 과정에서 피터의 아버지 에고가 그들을 돕는다. 아픈 엄마와 어린 자신을 버리고 떠난 아버지에 대한 원망이 컸던 피터는 에고의 행성에서 아버지의 능력을 확인하곤 그 힘에 이끌린다. 하지만 가모라는 에고의 행성에서 이상한 기운을 감지한다. 한편 반란군에 의해 위기에 처한 욘두는 로켓과 그루트의 도움으로 목숨을 구한다.,2017-04-19,7.6,/uDuwGhQgffd5GQ695oUfy5oZGqP.jpg,"SF, 모험, 액션, 코미디"
458220,파머,학창 시절 미식축구 스타였던 에디 파머. 12년의 수감 생활을 마치고 돌아간 고향에서 가족으로부터 버림받은 소년 샘과 예상치 못하게 인연을 맺게 된다. 그러나 에디의 과거가 새로운 삶과 가족을 위협하게 되는데...,2021-01-29,8,/xSDdRAjxKAGi8fUBLOqSrBhJmF0.jpg,드라마
536554,메간,"교통사고로 부모를 잃고 혼자가 된 소녀 ‘케이디’. 로봇 엔지니어이자, ‘케이디’의 보호자가 된 ‘젬마’는 ‘케이디’를 안전하게 지켜야 하는 프로그램이 입력된 AI 로봇 ‘메간’을 선물한다. 메간은 언제나 ‘케이디’의 곁을 지켜주며 함께 웃고, 힘들 땐 위로해주는 둘도 없는 친구가 된다. 어느 날, ‘케이디’가 위험에 처하자 ‘메간’은 예측할 수 없는 방향으로 업그레이드되며 감당할 수 없는 일들이 벌어지는데…",2022-12-28,7.3,/v0TtgXaZZ6NeDxKackgQK9byEDL.jpg,"SF, 공포, 코미디"
980078,곰돌이 푸: 피와 꿀,어릴 적 친구로부터 버림받은 곰돌이 ‘푸’와 ‘피글렛’  참을 수 없는 분노와 배신감을 느끼며 잔혹한 복수를 시작한다.,2023-01-27,5.7,/fcCbzcEbAEQ5gWzx7EX78qLEVFw.jpg,"공포, 스릴러"
337339,분노의 질주: 더 익스트림,마침내 평화로운 일상으로 돌아온 리더 도미닉(빈 디젤)과 멤버들. 하지만 레티(미셸 로드리게스)와 쿠바에서 신혼을 만끽 중인 도미닉(빈 디젤)에게 불청객이 찾아온다. 전설적인 해커이자 테러 조직의 리더 사이퍼(샤를리즈 테론)는 도미닉을 협박해 자신의 명령을 따르게 한다. 멤버들은 도미닉이 사이퍼와 함께  사상 최악의 테러를 계획하고 있음을 알게 된다.  리더의 배신으로 위기에 놓인 멤버들은 한때 팀을 모두 전멸시키려 했던 데카드 쇼(제이슨 스타뎀)까지 영입해  최악의 적이 되어버린 도미닉과의 피할 수 없는 대결을 앞두게 되는데...,2017-04-12,6.9,/h7tvYU9kN4pKjCIzUhf6PLNhQHT.jpg,"액션, 범죄, 스릴러"
168259,분노의 질주: 더 세븐,"도미닉과 멤버들은 범죄조직 소탕 후 모든 전과를 사면 받고 평범한 일상으로 돌아간다. 하지만 평화도 잠시, 전작에서 처리한 범죄조직의 리더 오웬 쇼의 형 데카드 쇼가 동생의 복수를 위해 멤버들을 차례로 공격한다. 특수부대 출신 용병 데카드 쇼의 난입으로 한이 갑작스레 사망하게 되고, 도미닉의 집은 순식간에 폭파당한다. 이에 맞서는 정부요원 페티는 도미닉을 돕는 조건으로 납치당한 해커 램지의 구출을 의뢰하고, 도미닉은 멤버들을 다시 모아 숨막히는 반격을 시작한다.",2015-04-01,7.2,/cuQdgDYANbKA46e4va2fz6fODkc.jpg,"액션, 스릴러, 범죄"
667538,트랜스포머: 비스트의 서막,화려한 액션과 스펙터클로 전 세계를 사로잡은 영화 <트랜스포머> 시리즈의 신작 <트랜스포머: 비스트의 서막>은 1990년대의 지구를 배경으로 벌어지는 오토봇과 디셉티콘의 전투 그리고 새롭게 등장하는 캐릭터들인 맥시멀을 선보일 예정이다.,2023-06-06,0,/chUZNPNd7EiETSB4xBGykXhuXRr.jpg,"액션, 모험, SF"
